"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 13:40:53 GMT 2025","Mon Sep 01 13:40:56 GMT 2025","3761","Surefire suite","Surefire test","com.petStore.tests.user.TestUsersEndToEnd","com.petStore.tests.user.TestUsersEndToEnd","a_testAddingNewUser","a_testAddingNewUser","1-create new user"
"passed","Mon Sep 01 13:40:57 GMT 2025","Mon Sep 01 13:40:57 GMT 2025","130","Surefire suite","Surefire test","com.petStore.tests.user.TestUsersEndToEnd","com.petStore.tests.user.TestUsersEndToEnd","b_testGettingUserByUsername","b_testGettingUserByUsername","2-get user by username"
"passed","Mon Sep 01 13:40:57 GMT 2025","Mon Sep 01 13:40:57 GMT 2025","22","Surefire suite","Surefire test","com.petStore.tests.user.TestUsersEndToEnd","com.petStore.tests.user.TestUsersEndToEnd","e_testDeletingUser","e_testDeletingUser","5-delete user"
"passed","Mon Sep 01 13:40:57 GMT 2025","Mon Sep 01 13:40:57 GMT 2025","25","Surefire suite","Surefire test","com.petStore.tests.user.TestUsersEndToEnd","com.petStore.tests.user.TestUsersEndToEnd","f_testGettingUserAfterDeletion","f_testGettingUserAfterDeletion","6-get user after deletion"
"passed","Mon Sep 01 13:40:57 GMT 2025","Mon Sep 01 13:40:57 GMT 2025","106","Surefire suite","Surefire test","com.petStore.tests.user.TestUsersEndToEnd","com.petStore.tests.user.TestUsersEndToEnd","c_testUpdatingUser","c_testUpdatingUser","3-update user"
"passed","Mon Sep 01 13:40:57 GMT 2025","Mon Sep 01 13:40:57 GMT 2025","98","Surefire suite","Surefire test","com.petStore.tests.user.TestUsersEndToEnd","com.petStore.tests.user.TestUsersEndToEnd","d_testGettingUserAfterUpdatingUsername","d_testGettingUserAfterUpdatingUsername","4-get user after updating username"
